Date,Item,Total Price,Category,Clothing,Suggested Price
10/8/21,long sleeve shirts,$5.00 ,long_sleeves_blouses,1,3.0
10/8/21,long sleeve shirts,$5.00 ,long_sleeves_blouses,1,3.0
10/8/21,boutique item,$7.00 ,boutique_item,1,N/A
10/8/21,vase,$5.00 ,household_goods,0,5.0
10/8/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/8/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/8/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/8/21,boutique item,$5.00 ,boutique_item,1,N/A
10/8/21,boutique item,$6.00 ,boutique_item,1,N/A
10/8/21,jeans,$5.00 ,pants,1,5.0
10/8/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/8/21,t-shirt,$3.00 ,short_sleeve_tops,1,3.0
10/8/21,long sleeve shirts,$5.00 ,long_sleeves_blouses,1,3.0
10/8/21,notebook,$3.00 ,school_office_supplies,0,3.0
10/8/21,shorts,$3.00 ,skirts_shorts_dresses,1,3.0
10/8/21,sun hats,$3.00 ,headwear,1,3.0
10/8/21,water bottles,$1.00 ,household_goods,0,1.0
10/8/21,glue sticks,$2.00 ,school_office_supplies,0,1.0
10/8/21,household_goods,$2.00 ,household_goods,0,N/A
10/8/21,pants,$5.00 ,pants,1,N/A
10/8/21,water bottles,$1.00 ,household_goods,0,1.0
10/8/21,tank-top,$3.00 ,short_sleeve_tops,1,3.0
10/11/21,boutique item,$9.00 ,boutique_item,1,N/A
10/13/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/13/21,button-down work shirt,$8.00 ,long_sleeves_blouses,1,5.0
10/13/21,long sleeve shirts,$3.00 ,long_sleeves_blouses,1,3.0
10/13/21,button-down work shirt,$5.00 ,long_sleeves_blouses,1,5.0
10/13/21,dresses (all),$8.00 ,skirts_shorts_dresses,1,5.0
10/13/21,long sleeve shirts,$6.00 ,long_sleeves_blouses,1,3.0
10/13/21,long sleeve shirts,$3.00 ,long_sleeves_blouses,1,3.0
10/13/21,shorts,$3.00 ,skirts_shorts_dresses,1,3.0
10/13/21,heels,$10.00 ,shoes,1,10.0
10/13/21,sneakers,$5.00 ,shoes,1,5.0
10/13/21,sweaters/cardigans,$7.00 ,long_sleeves_blouses,1,5.0
10/13/21,accessories,$2.00 ,accessories,1,N/A
10/13/21,short_sleeve_tops,$6.00 ,short_sleeve_tops,1,N/A
10/13/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/13/21,water bottles,$1.00 ,household_goods,0,1.0
10/13/21,water bottles,$1.00 ,household_goods,0,1.0
10/13/21,earring (pair),$3.00 ,jewelry,1,3.0
10/13/21,pants,$5.00 ,pants,1,N/A
10/13/21,tank-top,$7.00 ,short_sleeve_tops,1,3.0
10/13/21,dresses (all),$6.00 ,skirts_shorts_dresses,1,5.0
10/13/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/13/21,boutique item,$8.00 ,boutique_item,1,N/A
10/13/21,leggings,$5.00 ,pants,1,5.0
10/13/21,t-shirt,$3.00 ,short_sleeve_tops,1,3.0
10/13/21,slacks,$5.00 ,pants,1,5.0
10/13/21,dresses (all),$5.00 ,skirts_shorts_dresses,1,5.0
10/13/21,pants,$5.00 ,pants,1,N/A
10/13/21,shorts,$3.00 ,skirts_shorts_dresses,1,3.0
10/15/21,earring (pair),$3.00 ,jewelry,1,3.0
10/15/21,earring (pair),$3.00 ,jewelry,1,3.0
10/15/21,shoes,$10.00 ,shoes,1,N/A
10/15/21,earring (pair),$3.00 ,jewelry,1,3.0
10/15/21,boutique item,$6.00 ,boutique_item,1,N/A
10/15/21,water bottles,$1.00 ,household_goods,0,1.0
10/15/21,water bottles,$1.00 ,household_goods,0,1.0
10/15/21,shoes,$10.00 ,shoes,1,N/A
10/18/21,water bottles,$2.00 ,household_goods,0,1.0
10/19/21,water bottles,$2.00 ,household_goods,0,1.0
10/18/21,shorts,$3.00 ,skirts_shorts_dresses,1,3.0
10/18/21,boutique item,$10.00 ,boutique_item,1,N/A
10/18/21,boutique item,$7.00 ,boutique_item,1,N/A
10/27/21,water bottles,$1.00 ,household_goods,0,1.0
10/27/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/27/21,windbreakers,$5.00 ,hoodies_coats,1,5.0
10/27/21,tank-top,$3.00 ,short_sleeve_tops,1,3.0
10/27/21,handbags,$5.00 ,accessories,1,5.0
10/27/21,water bottles,$1.00 ,household_goods,0,1.0
10/27/21,tank-top,$3.00 ,short_sleeve_tops,1,3.0
10/27/21,boutique item,$15.00 ,boutique_item,1,N/A
10/27/21,notebook,$1.00 ,school_office_supplies,0,3.0
10/27/21,boutique item,$7.00 ,boutique_item,1,N/A
10/27/21,t-shirt,$3.00 ,short_sleeve_tops,1,3.0
10/27/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/27/21,long sleeve shirts,$3.00 ,long_sleeves_blouses,1,3.0
10/27/21,jeans,$5.00 ,pants,1,5.0
10/27/21,sweaters/cardigans,$5.00 ,long_sleeves_blouses,1,5.0
10/27/21,sunglasses,$5.00 ,accessories,1,5.0
10/27/21,dresses (all),$5.00 ,skirts_shorts_dresses,1,5.0
10/27/21,boutique item,$5.00 ,boutique_item,1,N/A
